question|answer|distractors
What is 7381 - 1930?|5451|4699, 1437, 4631
What is 342 + 7342?|7684|5361, 4917, 8134, 3909
What is 4132 + 7305?|11437|7624, 458, 5666
What is 9928 * 6779?|67301912|25, 2141
What is 1246 - 7489?|-6243|6286, 8530, 358, 1303
What is 8963 - 2443?|6520|3458
What is 1725 - 1280?|445|9867, 1366
What is 2465 + 3628?|6093|6558, 8013
What is 235 * 6738?|1583430|1026, 4477
What is 4089 + 527?|4616|5923
What is 5847 - 7684?|-1837|9995, 3395, 8980
What is 7823 + 9053?|16876|2976, 131
What is 1505 * 217?|326585|2817, 9965, 5230, 7913
What is 1122 - 3060?|-1938|7666, 3847
What is 7475 + 5029?|12504|9470
What is 3630 - 7522?|-3892|4593, 5332
What is 8025 + 9626?|17651|1674, 4789, 6565
What is 73 - 4697?|-4624|5559
What is 4194 * 6192?|25969248|9913, 7296, 6001
What is 1000 - 21?|979|4281, 8903, 982, 1663
What is 6438 * 5499?|35402562|7254, 3877, 3210
What is 6234 * 6576?|40994784|9104, 4079, 7189, 6567
What is 8221 + 5094?|13315|3317, 8966, 6839
What is 9538 * 1557?|14850666|5932, 6996, 7413, 2654
What is 3086 - 8239?|-5153|8617, 3291, 6668, 3157
What is 4054 - 3812?|242|832, 5219, 6038
What is 3087 + 1797?|4884|5720, 873
What is 1401 - 1463?|-62|7737, 1452, 258
What is 1515 + 8846?|10361|4683, 1852, 4157, 6454
What is 3762 - 1441?|2321|51, 6815
What is 8820 + 3859?|12679|7536, 9794, 9460, 5013
What is 3390 + 4844?|8234|1164
What is 2497 + 3148?|5645|445, 901
What is 668 + 7617?|8285|8255
What is 3409 * 5487?|18705183|8857, 6867, 6217
What is 6980 - 1663?|5317|3189
What is 1291 - 759?|532|1042
What is 2603 - 3347?|-744|976, 6097
What is 4661 + 629?|5290|9403, 7110, 4415
What is 3699 + 4389?|8088|6372, 5229
What is 8594 - 8529?|65|3280, 5645
What is 7414 * 9341?|69254174|2168, 4929, 2931
What is 3945 - 4403?|-458|7568, 1668, 1235, 8180
What is 6529 * 9719?|63455351|3464, 1465, 390
What is 8920 - 6919?|2001|7012, 3055
What is 9349 + 2588?|11937|5280, 6269
What is 9867 + 4250?|14117|2385, 1020, 7133
What is 3305 * 3024?|9994320|1731
What is 4838 - 6103?|-1265|3824
What is 440 - 3280?|-2840|2130, 7869, 6758, 6287
What is 7541 - 4607?|2934|1840, 6428, 5892
What is 2094 * 504?|1055376|3509, 5125
What is 6181 * 1109?|6854729|2653, 225
What is 8303 * 8822?|73249066|5784
What is 4329 * 5413?|23432877|1291, 6380, 7613
What is 5420 - 4117?|1303|1594, 4507, 8852, 5325
What is 4897 - 9728?|-4831|4872, 1516
What is 446 + 8591?|9037|9580, 1540
What is 8726 * 2176?|18987776|6449, 9198
What is 1876 - 5236?|-3360|4776, 6806, 1542, 4078
What is 2425 + 2868?|5293|2135
What is 1144 + 8588?|9732|4065, 5706, 6891, 163
What is 5245 + 8403?|13648|9817, 9690, 948, 7874
What is 4911 + 7996?|12907|7418, 1923, 477, 4427
What is 1462 - 6232?|-4770|5200, 7098, 1778, 1109
What is 9974 - 7164?|2810|7999, 6482, 655
What is 164 + 9578?|9742|5310
What is 6268 * 3677?|23047436|2565
What is 6722 - 4163?|2559|5136, 1913
What is 3434 * 9327?|32028918|6993
What is 8173 - 5489?|2684|3244, 3090
What is 9253 * 3612?|33421836|6232, 8292, 1338
What is 2444 + 2888?|5332|8677
What is 3963 + 2369?|6332|5408, 7756, 413
What is 5540 * 7434?|41184360|2464, 5778, 2219, 3792
What is 3386 + 4567?|7953|8976, 8187, 9932, 1694
What is 2583 * 106?|273798|563, 3860
What is 7420 + 3540?|10960|3483
What is 5719 - 8944?|-3225|4220, 2741
What is 5114 * 5908?|30213512|9289, 1202, 4189, 9375
What is 4678 - 5945?|-1267|3822, 682, 7507, 4014
What is 9899 + 3065?|12964|4052, 9466, 6003, 6221
What is 4404 + 9906?|14310|2921, 7466, 351, 3415
What is 3186 + 6862?|10048|3426, 2707, 5398, 7103
What is 7617 - 985?|6632|6411, 9702, 2079
What is 9406 - 2643?|6763|5328, 6145, 1202, 9685
What is 2765 - 1693?|1072|3604, 2605
What is 4458 * 7108?|31687464|5434
What is 2415 - 9650?|-7235|4028, 8284, 2059, 8468
What is 4259 + 4589?|8848|9918
What is 6772 * 4797?|32485284|4982
What is 2596 - 8652?|-6056|3193, 2939, 3694, 3703
What is 7198 - 6777?|421|7240, 4392, 9491, 8139
What is 3050 - 1351?|1699|2864, 1068, 163, 1047
What is 3342 * 7076?|23647992|2659
What is 5313 * 8128?|43184064|2144, 738, 1224, 6750
What is 9222 - 7818?|1404|8937, 8121, 1862, 3273
What is 1151 * 8751?|10072401|884, 9439
What is 3932 * 1108?|4356656|8456, 6267, 340
What is 9906 - 1640?|8266|7796
What is 9879 - 5197?|4682|3309, 5262
What is 890 - 6980?|-6090|1902, 8868, 8645
What is 8465 + 2479?|10944|3420, 5922, 5956
What is 9294 * 7296?|67809024|9897, 424, 6413
What is 235 + 8398?|8633|4505
What is 1635 + 2728?|4363|9436, 3839
What is 5231 - 3882?|1349|7025, 967
What is 3807 + 7038?|10845|4784, 8544, 9332, 8455
What is 8507 - 6331?|2176|4209, 1702, 8689
What is 5620 + 2191?|7811|4290, 2722, 3501
What is 1877 - 9256?|-7379|7179
What is 6214 + 9023?|15237|7692, 383
What is 6048 + 138?|6186|688, 7237
What is 8620 * 4506?|38841720|5458
What is 7029 * 6413?|45076977|995, 6468, 4580, 2297
What is 8523 * 5935?|50584005|722
What is 7805 * 980?|7648900|9808, 2019, 527
What is 2923 * 4761?|13916403|4297, 5221
What is 6683 + 7988?|14671|5553, 6482, 3022
What is 2696 - 9893?|-7197|4778
What is 367 + 571?|938|4208, 6226
What is 8336 * 9405?|78400080|7181
What is 4416 - 9056?|-4640|9490, 5525
What is 3849 - 9007?|-5158|9167
What is 4095 - 6184?|-2089|711
What is 382 * 9064?|3462448|9128, 8843, 4563
What is 7551 - 1466?|6085|6988, 2362, 2138, 1269
What is 1253 * 5859?|7341327|3298, 547
What is 2303 * 6539?|15059317|574, 5430
What is 442 - 8852?|-8410|9784, 4004, 5903
What is 5053 - 5968?|-915|416, 454, 2230
What is 9492 - 8469?|1023|7659
What is 3603 + 5864?|9467|6554, 1747
What is 8058 - 117?|7941|4826, 7916, 8903
What is 5350 + 3132?|8482|9009
What is 7844 + 5402?|13246|3822, 3051, 5246, 1069
What is 8580 - 6147?|2433|6084
What is 763 - 5498?|-4735|7133, 6521
What is 2966 - 3690?|-724|3779, 2886
What is 3369 + 544?|3913|2144, 7714, 5778
What is 7087 + 7199?|14286|3446, 4634, 3494, 1047
What is 4266 - 6931?|-2665|8069, 7758
What is 2173 * 8494?|18457462|2962, 4220
What is 1380 + 9006?|10386|5314
What is 5801 * 4334?|25141534|6241, 9198
What is 2608 + 4902?|7510|3924
What is 7428 - 1884?|5544|2753, 6641
What is 4399 - 7011?|-2612|1542, 6926, 7231
What is 2977 - 7553?|-4576|3266, 1862, 3414, 5919
What is 8284 * 3859?|31967956|1796, 4142
What is 4748 * 6634?|31498232|6944, 9688, 30
What is 3278 * 2090?|6851020|7611
What is 2060 + 3810?|5870|321, 4563, 8006
What is 4194 - 7217?|-3023|9652
What is 6338 - 6997?|-659|4346, 1555, 8198
What is 2629 * 3084?|8107836|7448, 1594, 3899
What is 9930 - 4967?|4963|5114, 4719, 5646, 383
What is 3034 + 965?|3999|480, 3335, 2981
What is 3605 * 6616?|23850680|8227, 4795, 47, 3299
What is 4714 + 9883?|14597|3220
What is 6463 * 8522?|55077686|2396, 1419, 812, 6405
What is 8666 - 210?|8456|1591
What is 8202 * 8132?|66698664|2034, 9629, 5199
What is 1342 + 397?|1739|1176, 6103, 9502, 3623
What is 9053 * 5541?|50162673|5008
What is 4104 * 9988?|40990752|4799, 8525, 2069
What is 5773 + 1194?|6967|1152, 9672, 3555
What is 9962 + 1791?|11753|7971, 2022
What is 7656 * 8201?|62786856|8264, 2242, 9448, 6205
What is 6277 + 2495?|8772|4940, 2069, 3631
What is 5186 * 4223?|21900478|7433
What is 5841 + 7300?|13141|7857, 3095
What is 7488 - 8682?|-1194|5393
What is 3885 - 8340?|-4455|3306, 8858, 7959
What is 9077 * 1950?|17700150|9618
What is 742 + 6808?|7550|6195, 2667, 2973
What is 6985 + 6986?|13971|6482, 3934
What is 7486 * 4365?|32676390|7826, 9140
What is 8487 + 717?|9204|8490, 9883
What is 3949 * 431?|1702019|7928, 3961, 6636
What is 872 - 6587?|-5715|2635, 1886
What is 2563 + 9654?|12217|3937
What is 8951 - 5188?|3763|4760, 9184, 6322
What is 4135 * 7435?|30743725|5953, 7716
What is 2753 * 4810?|13241930|6920, 5316, 6450, 9174
What is 6544 * 8624?|56435456|6520, 338, 1299, 4158
What is 4610 - 5612?|-1002|1722, 3414, 2735
What is 506 * 973?|492338|8264, 8818
What is 6213 + 4400?|10613|1617, 5300, 1073
What is 4066 + 3588?|7654|8937, 1223
What is 1207 - 8078?|-6871|6563, 9204, 7638
What is 7377 * 4130?|30467010|7741, 1854
What is 3380 + 9794?|13174|5854
What is 4193 + 1698?|5891|5593, 788, 1214, 6095
What is 1010 - 5057?|-4047|3752, 9574
What is 9198 * 6216?|57174768|4913, 2365
What is 8360 - 7409?|951|8112, 3594, 4663, 1797
What is 5336 - 1642?|3694|3515, 3853, 4719
What is 6742 + 6520?|13262|3801
What is 8750 * 8119?|71041250|9350
What is 711 - 7071?|-6360|6768, 4563, 5100
What is 978 + 3633?|4611|2752, 3309, 5543
What is 7094 + 506?|7600|5737, 8018, 9971, 7016
What is 61 + 5641?|5702|8128, 3999, 3823
What is 4584 - 930?|3654|6703
What is 6804 + 2588?|9392|1877
What is 3422 - 9777?|-6355|4665, 7853
What is 3506 * 4959?|17386254|6458
What is 8202 * 3484?|28575768|4680, 3547, 981
What is 3874 + 1406?|5280|7040
What is 3401 - 6501?|-3100|4968, 7057
What is 2588 * 7722?|19984536|120, 9104
What is 4955 - 3280?|1675|3464, 3219, 4797
What is 2984 * 6319?|18855896|1682, 3172, 9589
What is 2534 + 2604?|5138|1163
What is 6011 - 5488?|523|2492
What is 1504 * 2330?|3504320|7284, 3532
What is 2112 * 8579?|18118848|4650, 1684, 3574, 9943
What is 6080 * 3710?|22556800|4641, 1798, 1374
What is 2998 * 9038?|27095924|2064, 3381, 1558, 4751
What is 7869 + 7064?|14933|9208, 2801, 3605
What is 2628 * 9076?|23851728|6761, 197, 694
What is 3430 * 1109?|3803870|6776, 3706, 4572
What is 6109 - 2807?|3302|4946, 3693
What is 5356 * 3892?|20845552|5472, 6210, 6011
What is 4188 * 6542?|27397896|2365
What is 8101 + 5425?|13526|5648, 8600, 7514
What is 9498 * 7505?|71282490|5952, 8537, 1306, 169
What is 7961 + 2214?|10175|7275, 454
What is 3191 + 9268?|12459|9656, 2230
What is 998 + 367?|1365|9208, 1250, 1396, 8677
What is 4255 * 3822?|16262610|7018, 6022, 4693
What is 1107 + 9206?|10313|6374
What is 2056 + 4077?|6133|9419
What is 2845 + 8774?|11619|3521, 6930, 2212, 3771
What is 1306 + 8377?|9683|1263
What is 7254 - 3552?|3702|5400, 1611, 5229
What is 6083 - 4674?|1409|1299, 8627, 3851
What is 1647 - 2574?|-927|6609, 9092, 7615
What is 9641 * 6241?|60169481|9762, 5718, 7791
What is 1057 - 134?|923|4501
What is 7782 + 325?|8107|3643, 5078
What is 86 + 2229?|2315|9417, 7293, 4677
What is 2338 - 5642?|-3304|3223
What is 8028 + 7356?|15384|384, 1787, 7279, 4151
What is 6327 * 7637?|48319299|5960, 7648, 694, 7915
What is 9779 + 4083?|13862|8146, 1767
What is 4432 - 5679?|-1247|1886
What is 9221 - 1146?|8075|9168, 7522, 5820, 114
What is 955 - 5855?|-4900|1309
What is 6100 * 4717?|28773700|6956, 9378
What is 2621 + 2987?|5608|2688, 1130, 5739, 1591
What is 6946 + 6916?|13862|1681, 6187, 9503
What is 1948 - 4665?|-2717|7142
What is 8220 - 2800?|5420|7385
What is 99 - 6186?|-6087|7916, 8677, 582, 3245
What is 7135 - 6981?|154|8952, 3247
What is 360 + 338?|698|7194, 2492, 7117, 7823
What is 1294 * 9834?|12725196|6728, 1708, 5256
What is 496 * 5204?|2581184|6831
What is 1823 + 8564?|10387|1232, 2484, 2741
What is 231 - 3188?|-2957|413
What is 4975 - 9154?|-4179|6915
What is 4422 * 1917?|8476974|5618
What is 7406 - 4757?|2649|6283, 1966, 8129
What is 6839 * 8071?|55197569|327, 4567
What is 6587 - 9280?|-2693|9316, 2148, 2943
What is 2591 * 9622?|24930602|9376, 3684, 596, 8538
What is 6583 + 3943?|10526|8340, 8750
What is 4885 - 9162?|-4277|1260, 4093
What is 7959 * 7762?|61777758|6922
What is 2763 - 2504?|259|4841, 1190
What is 524 * 2459?|1288516|4633, 2118, 655
What is 4733 + 4232?|8965|8200, 5888, 2333
What is 6267 * 1879?|11775693|1227, 3966
What is 1974 + 7022?|8996|984, 540, 1930, 3074
What is 748 + 1656?|2404|2217, 7775, 8039
What is 3193 * 4181?|13349933|2024, 4841, 8741, 1001
What is 6548 + 3193?|9741|3897, 7275, 740
What is 3132 + 9167?|12299|3650, 5932, 8035, 7183
What is 5496 * 2703?|14855688|2800
What is 7736 - 9496?|-1760|8401, 1668, 6221
What is 6641 - 8329?|-1688|8483, 1845, 6115
What is 1013 - 2679?|-1666|1747
What is 1793 + 3672?|5465|1250, 5350, 5881
What is 9307 + 4159?|13466|5624, 5372, 2322
What is 828 - 6358?|-5530|8726, 4166
What is 5531 - 3994?|1537|4085, 3253
What is 3779 + 236?|4015|6095, 9628, 7949
What is 9333 - 9100?|233|6895
What is 4990 + 4324?|9314|6963, 3175
What is 2103 - 6822?|-4719|5917, 7057
What is 5632 - 7629?|-1997|5643
What is 1327 + 6088?|7415|4472
What is 4904 - 5190?|-286|3259, 7167, 3602, 2607
What is 9127 * 2240?|20444480|6174
What is 4213 - 5223?|-1010|5940
What is 9206 + 4592?|13798|3272
What is 5621 * 8130?|45698730|8353, 6996
What is 7937 * 8697?|69028089|3491
What is 6317 * 5248?|33151616|5889, 258, 8750
What is 2190 - 5197?|-3007|2856, 4385, 5120, 4535
What is 3151 - 3475?|-324|8341
What is 9215 - 1253?|7962|1892, 9860
What is 4570 + 2773?|7343|96, 7639, 9813
What is 8928 + 1051?|9979|6336, 9260
What is 3999 - 7487?|-3488|3601, 9655
What is 2782 - 7678?|-4896|712, 8546, 9408, 2207
What is 4198 - 4994?|-796|8808, 6259, 2215
What is 2425 + 7107?|9532|3269, 2510
What is 3171 + 9991?|13162|3496, 3897, 9683
What is 5354 + 2401?|7755|7076
What is 559 - 845?|-286|3740, 2940, 7938, 7775
What is 657 + 5512?|6169|8608, 5239, 489
What is 6051 - 3046?|3005|152, 1828, 7853
What is 8189 - 5632?|2557|5398
What is 7419 - 2682?|4737|8882, 1999, 2185
What is 8368 * 7004?|58609472|7370, 8559
What is 2141 - 4256?|-2115|2013
What is 4257 - 2971?|1286|8952, 1250, 9014, 4890
What is 4414 + 6526?|10940|1136, 1508, 6902
What is 2630 - 5502?|-2872|3095
What is 8042 * 4692?|37733064|8905, 9242, 7779
What is 3137 + 7349?|10486|8764, 3743
What is 9889 + 4351?|14240|8963, 4894
What is 1375 - 8214?|-6839|4875, 1764, 473
What is 9212 - 9171?|41|3196, 4653, 694, 2061
What is 2497 - 1823?|674|6075, 2542, 8535
What is 7501 * 7069?|53024569|5488, 3108, 3453, 9807
What is 3723 + 478?|4201|3309, 2853
What is 2701 + 4079?|6780|6547, 1421, 4831
What is 981 * 8661?|8496441|4162, 1917, 4653, 2205
What is 9011 - 3356?|5655|7569, 919
What is 3236 - 9133?|-5897|2354
What is 5953 - 3650?|2303|6008, 1883, 3995
What is 1236 + 2977?|4213|704, 5650, 9995
What is 6259 * 2234?|13982606|9816, 1388, 7934
What is 3849 - 7888?|-4039|6096, 4299, 2425
What is 1439 + 418?|1857|4887, 1940, 2585, 2735
What is 6531 * 6441?|42066171|3495
What is 6307 - 3102?|3205|6877, 5422, 686
What is 4540 * 8500?|38590000|1593, 7202, 3238
What is 4205 - 9105?|-4900|9968, 1465, 6542, 2068
What is 9306 + 9245?|18551|5912, 5089, 799, 3869
What is 3010 * 192?|577920|9274, 8355, 7692
What is 9190 + 3355?|12545|6764, 9519
What is 9562 * 8921?|85302602|3814
What is 6392 + 6600?|12992|2937, 6954, 2669
What is 7324 - 1133?|6191|3983, 1923, 6828
What is 7720 + 3386?|11106|6624, 1889, 574
What is 7104 * 2424?|17220096|7984
What is 4523 * 7464?|33759672|7169, 9018
What is 3298 + 5807?|9105|8234, 187, 8401
What is 9804 - 456?|9348|7082
What is 2011 - 8990?|-6979|5472, 8046, 6167
What is 4646 * 7499?|34840354|8416, 2553, 9542, 6775
What is 5227 + 7185?|12412|6410, 9074, 981
What is 4079 - 4919?|-840|2105, 4634, 3150
What is 506 - 1164?|-658|7810
What is 316 + 7966?|8282|689, 8852, 8965
What is 6848 * 8298?|56824704|2509, 3070
What is 1908 * 6979?|13315932|5930, 2939, 3829, 7693
What is 1271 + 5419?|6690|2240, 6027
What is 6185 - 7802?|-1617|1048
What is 4427 - 6652?|-2225|6587
What is 9300 - 547?|8753|5723, 6945
What is 5123 - 4923?|200|7696, 9544, 5249, 5433
What is 4677 * 4451?|20817327|1062
What is 5466 + 973?|6439|9692, 4941
What is 3980 + 542?|4522|2289, 7083
What is 4411 - 5752?|-1341|9181, 3206, 5055
What is 8011 * 7370?|59041070|6659, 1269
What is 584 + 6322?|6906|5233, 7171, 3517, 5127
What is 8462 + 43?|8505|8120, 7507, 6628, 5429
What is 6266 * 5529?|34644714|4856, 3321, 7859, 2030
What is 4983 + 8555?|13538|3087, 8500, 8263
What is 1390 + 8887?|10277|1025
What is 1369 - 2006?|-637|795, 6178, 5989
What is 1145 - 3508?|-2363|3257, 9350, 2103
What is 704 - 5019?|-4315|8229, 6639, 8044, 159
What is 8012 - 7150?|862|4022, 3117
What is 729 + 6149?|6878|8097, 5322, 2694, 1513
What is 8209 - 8833?|-624|9018, 3754
What is 1151 - 920?|231|4136, 6810
What is 6789 * 5693?|38649777|9263
What is 9373 + 4830?|14203|4883, 3457, 2900, 5775
What is 593 + 8048?|8641|5100
What is 346 - 1063?|-717|8173, 6958
What is 1244 - 898?|346|7616, 6952, 1978
What is 70 - 3613?|-3543|3850, 4732, 5077
What is 159 * 2708?|430572|3732, 2707, 8157
What is 7598 * 1117?|8486966|7440, 4017, 6867
What is 7831 + 6249?|14080|7234, 1235, 5518, 9990
What is 1007 * 1152?|1160064|2429
What is 8359 - 6395?|1964|7368, 3272
What is 5936 - 7530?|-1594|7913
What is 1938 * 617?|1195746|24, 4857, 7915, 1075
What is 9023 + 296?|9319|8168, 5453
What is 9082 + 9849?|18931|1920, 6801, 5906, 1758
What is 9659 * 4574?|44180266|592, 5025, 7544, 1173
What is 9345 + 9818?|19163|3512, 6332, 6956
What is 2749 * 5483?|15072767|2033, 426, 6567, 7227
What is 9024 - 4182?|4842|2068, 4443, 3772, 9310
What is 2756 * 2253?|6209268|4396, 9883
What is 6701 - 6946?|-245|7440, 7006, 4222, 6123
What is 8108 + 7017?|15125|4887
What is 6582 * 7609?|50082438|6358, 2363, 693, 1251
What is 1439 * 3072?|4420608|4208
What is 7113 + 3433?|10546|9834, 6847
What is 7983 * 49?|391167|600, 6703, 2245, 6702
What is 3036 - 5350?|-2314|3561, 6947, 3987, 7913
What is 3984 - 7775?|-3791|6882, 521, 7549, 1177
What is 3704 + 8307?|12011|5401, 6947, 5495
What is 347 - 233?|114|8105, 3835, 4692, 1617
What is 3413 + 9364?|12777|4555, 3191
What is 4566 - 1922?|2644|4105, 1213, 7166
What is 8199 + 632?|8831|5119, 8214
What is 7627 - 5626?|2001|5488, 3290, 2195, 8039
What is 8619 * 2906?|25046814|5384, 6951, 6611, 7183
What is 7466 * 7704?|57518064|4401, 221, 7216
What is 8014 - 5855?|2159|7250, 1915, 8980, 6974
What is 9557 + 4970?|14527|7577, 8183, 7348, 4989
What is 7520 - 3168?|4352|4000
What is 9495 + 7481?|16976|6180, 8229
What is 3450 * 8664?|29890800|1386, 5819
What is 3281 + 4715?|7996|8980, 9794, 7325
What is 9115 - 9559?|-444|3082, 3245, 3606, 2130
What is 9981 + 9883?|19864|5912, 5634, 2790
What is 1429 + 5526?|6955|9010, 6596, 634
What is 9210 - 9128?|82|7536, 4849, 7835, 9429
What is 7255 * 4382?|31791410|6609, 4803, 2022, 3159
What is 2643 * 5697?|15057171|3717, 7950, 6391
What is 4979 * 4683?|23316657|8650, 6804, 5132, 8455
What is 8582 + 1091?|9673|3922, 6059, 6956, 2813
What is 196 - 4941?|-4745|1770, 6139, 4325, 4829
What is 5781 * 591?|3416571|3220
What is 5303 - 4426?|877|8931, 6596
What is 2042 - 3988?|-1946|5034, 6163
What is 8614 * 2860?|24636040|5387, 5790, 3743
What is 121 + 7159?|7280|1929, 6093
What is 6846 - 2332?|4514|634, 1024, 8091, 4330
What is 2036 + 4576?|6612|737, 3939
What is 1284 - 9246?|-7962|6475
What is 2914 + 6650?|9564|3952, 3441, 5443, 6654
What is 8793 + 4008?|12801|1339, 4348, 8423
What is 5991 - 1239?|4752|9594, 748, 9298
What is 6341 * 1439?|9124699|80, 331, 362, 9221
What is 694 * 6498?|4509612|1764, 3759
What is 2421 + 4082?|6503|3048, 2860
What is 7287 + 6502?|13789|1434, 8931
What is 9878 - 2527?|7351|2117, 5078
What is 194 - 7783?|-7589|2051, 3040
What is 1828 * 1028?|1879184|9851, 5846, 3703
What is 8543 - 212?|8331|8539, 572, 3738
What is 4727 * 4139?|19565053|7594, 2533
What is 7627 + 7853?|15480|6001, 5611, 6612, 3509
What is 4598 + 4360?|8958|2354
What is 2758 + 544?|3302|7688, 7951, 2021, 1663
What is 316 - 9026?|-8710|3280, 5681, 9220, 910
What is 5630 * 52?|292760|1552, 2136, 3445, 3503
What is 7419 - 5113?|2306|3632, 1097, 8916, 351
What is 4248 - 6404?|-2156|473
What is 7805 - 4999?|2806|9738
What is 2503 * 6996?|17510988|5169, 1895, 4884, 5089
What is 6551 + 7379?|13930|8017
What is 9852 * 7255?|71476260|5044, 5474
What is 118 * 544?|64192|6729
What is 9435 + 4825?|14260|9704, 5521, 7462, 3958
What is 8339 * 4432?|36958448|18, 7035
What is 5859 - 1776?|4083|7860, 2973, 7318, 5495
What is 6860 + 7711?|14571|6930, 5389, 7030
What is 6531 - 5741?|790|8794, 9739, 3467
What is 8603 + 5900?|14503|282
What is 4730 + 6696?|11426|8741
What is 1287 * 6196?|7974252|8729, 4354, 6546
What is 9664 * 1917?|18525888|4185, 3524, 4918
What is 2400 + 343?|2743|9712
What is 8572 * 4510?|38659720|9025, 8893
What is 8670 * 5599?|48543330|7765
What is 6869 - 9259?|-2390|9497, 981, 5439
What is 3038 + 8110?|11148|8368
What is 9127 * 9488?|86596976|6591, 8847, 503
What is 9527 * 168?|1600536|6928, 8840, 9827
What is 4274 + 9957?|14231|4760
What is 6805 - 1540?|5265|6412, 1606
What is 6524 + 4679?|11203|5084, 8391
What is 9697 * 5908?|57289876|8531
What is 7299 * 9434?|68858766|6857, 5423, 5693, 4247
What is 147 + 2292?|2439|9801, 7767, 4575
What is 2703 * 8748?|23645844|8425, 1994, 4523, 6431
What is 8222 + 5401?|13623|9913, 4916, 6404
What is 4921 + 3916?|8837|9600, 6853, 3533
What is 4503 - 8176?|-3673|5790
What is 2982 + 2837?|5819|1811, 7497, 4207
What is 428 - 1908?|-1480|1209, 4732
What is 8536 + 4752?|13288|3754, 9381
What is 6794 - 3727?|3067|5643
What is 4799 + 3141?|7940|1023
What is 6909 + 9934?|16843|1224
What is 7359 - 7220?|139|7569, 5299, 9439
What is 4078 * 6811?|27775258|5640
What is 23 - 6207?|-6184|4953
What is 4385 - 3147?|1238|4849, 59, 8373
What is 68 - 420?|-352|7864, 4499, 6205
What is 7257 + 6760?|14017|1674, 4079, 3159
What is 1740 - 3191?|-1451|6947, 3348
What is 5803 - 1301?|4502|4584, 4489, 4091, 5342
What is 1951 + 6435?|8386|4384, 3602, 3678
What is 1837 * 2236?|4107532|6468, 7018, 8342, 9449
What is 1551 * 8411?|13045461|9270, 3511
What is 2103 * 185?|389055|4044
What is 8352 * 8862?|74015424|6121, 7314, 475, 7437
What is 5216 - 346?|4870|7784, 5633, 9350, 7103
What is 8750 + 3481?|12231|9236
What is 9516 + 7580?|17096|5879, 4062, 5423
What is 6446 + 655?|7101|9192, 7418, 1871, 8533
What is 407 * 1067?|434269|5256
What is 366 + 4587?|4953|659, 3677, 2191
What is 306 + 8621?|8927|851, 2970, 9627, 8989
What is 8677 + 176?|8853|8219, 6423
What is 1670 + 2784?|4454|8906, 3723, 2972
What is 1117 - 7448?|-6331|8248, 5769, 6123, 5615
What is 7638 * 1195?|9127410|4091, 6702
What is 2473 - 8858?|-6385|5006, 8219, 7855, 2694
What is 3333 - 4712?|-1379|6025, 9738, 4292
What is 9082 - 3111?|5971|1708, 7364, 1805
What is 4840 - 9981?|-5141|2293, 6974
What is 2158 + 9591?|11749|7076, 2814, 8607
What is 7079 + 6668?|13747|1152, 7768, 1966
What is 3269 * 5234?|17109946|9079, 8298, 8549
What is 5916 - 3879?|2037|9226
What is 3581 - 2233?|1348|8036, 403, 9358, 9619
What is 6896 - 4463?|2433|5888
What is 5402 - 2249?|3153|1875, 5803, 5510, 3495
What is 8978 - 8358?|620|1692, 9565, 1670, 8484
What is 1773 - 9340?|-7567|1338, 7653, 6597
What is 894 + 456?|1350|1368
What is 123 + 1626?|1749|2290, 2194
What is 5723 + 9759?|15482|2757, 4413
What is 8943 * 4050?|36219150|2982
What is 3033 * 4674?|14176242|8791, 543
What is 226 + 4435?|4661|4496, 9804
What is 2184 + 3684?|5868|7234
What is 7766 + 168?|7934|6017, 11, 3581
What is 8286 - 2263?|6023|592, 513, 1785
What is 5548 - 2252?|3296|4388
What is 9353 + 8791?|18144|9788
What is 7417 - 8571?|-1154|9307, 9764, 7014
What is 2076 + 1255?|3331|9475, 84, 2995
What is 1847 + 477?|2324|9883
What is 1513 + 2137?|3650|2224, 3664, 7076, 6724
What is 5053 + 7870?|12923|5635
What is 7818 + 7509?|15327|7077
What is 7888 * 9476?|74746688|4435
What is 808 - 7532?|-6724|5137, 4988, 7854, 6990
What is 8339 - 3276?|5063|5824, 6480, 4580
What is 4990 - 6919?|-1929|4370, 5458, 6093
What is 8286 * 7656?|63437616|4469, 8262
What is 3266 * 1293?|4222938|9657, 6047, 6521
What is 2357 + 905?|3262|3192, 8604
What is 7409 - 5574?|1835|4840, 6567
What is 7328 - 1981?|5347|4976, 3440, 4490
What is 4645 - 4128?|517|5224, 8723
What is 2363 + 8895?|11258|5963, 4966, 7582, 2013
What is 9993 + 8444?|18437|8723, 9820
What is 7623 - 5006?|2617|4698
What is 6977 + 9776?|16753|878, 5221, 7950, 281
What is 3054 + 8240?|11294|1783
What is 7869 * 817?|6428973|7915
What is 1925 - 9326?|-7401|8151, 1902
What is 2603 - 5140?|-2537|6088, 25, 1145, 4125
What is 2645 + 9538?|12183|841, 4281
What is 3262 - 1055?|2207|8214
What is 8034 - 5931?|2103|8167, 2468, 6086
What is 4833 + 4296?|9129|2595, 9652, 5942
What is 4501 * 2341?|10536841|3440, 7822
What is 8705 - 6313?|2392|1378
What is 1431 - 4?|1427|3541, 783
What is 9220 * 6827?|62944940|136, 9544, 3197
What is 222 - 7636?|-7414|3282, 4878, 3310
What is 8822 + 6841?|15663|307, 6316, 5941
What is 1659 + 595?|2254|3096
